participantID,treatment,earnings,age2225,age2629,age3035,age3644,age4554
"300001",1,1353,0,0,0,0,1
"300002",1,4984,1,0,0,0,0
"300006",1,27707,0,0,1,0,0
"300008",1,31860,0,0,1,0,0
"300010",0,26615,1,0,0,0,0
"300012",1,48541,1,0,0,0,0
"300013",1,3240,0,0,0,1,0
"300014",1,8385,0,0,0,1,0
"300015",1,4036,1,0,0,0,0
"300016",1,16419,0,1,0,0,0
"300019",1,22221,0,1,0,0,0
"300022",1,1933,0,0,1,0,0
"300025",0,19541,0,0,0,0,1
"300026",1,25766,0,0,0,1,0
"300027",1,9879,1,0,0,0,0
"300028",0,25199,0,0,1,0,0
"300029",1,5486,1,0,0,0,0
"300030",0,24765,1,0,0,0,0
"300032",1,29780,0,0,1,0,0
"300033",0,18888,0,1,0,0,0
"300034",1,16773,0,0,0,1,0
"300035",1,33390,0,1,0,0,0
"300037",0,12537,0,1,0,0,0
"300039",0,48254,0,1,0,0,0
"300040",0,23686,0,0,1,0,0
"300041",1,0,0,0,0,1,0
"300044",1,21035,0,1,0,0,0
"300047",0,1184,0,0,1,0,0
"300048",0,10112,0,0,1,0,0
"300052",0,33570,0,1,0,0,0
"300054",0,12301,1,0,0,0,0
"300055",0,27676,0,1,0,0,0
"300057",0,57676,0,1,0,0,0
"300058",1,38018,0,1,0,0,0
"300059",1,3366,0,1,0,0,0
"300062",1,4038,0,0,0,1,0
"300063",0,13892,0,1,0,0,0
"300064",0,14598,0,1,0,0,0
"300066",1,439,0,1,0,0,0
"300070",0,9794,0,1,0,0,0
"300074",1,20609,1,0,0,0,0
"300075",0,37644,1,0,0,0,0
"300076",1,21219,1,0,0,0,0
"300077",0,9747,0,0,0,0,1
"300078",0,0,0,0,0,0,1
"300080",1,0,0,0,0,0,1
"300081",1,31196,0,0,1,0,0
"300082",0,34728,1,0,0,0,0
"300084",0,126,0,0,1,0,0
"300085",1,1763,0,0,0,1,0
"300087",0,0,1,0,0,0,0
"300090",1,3541,0,0,0,0,1
"300091",1,7028,0,1,0,0,0
"300092",1,4506,1,0,0,0,0
"300095",1,2203,0,0,1,0,0
"300096",0,3765,1,0,0,0,0
"300097",1,5475,0,1,0,0,0
"300098",0,12394,0,1,0,0,0
"300099",1,8372,0,0,0,1,0
"300101",1,11018,0,0,1,0,0
"300103",0,1109,0,0,0,0,0
"300104",0,75,0,0,0,1,0
"300105",0,26944,0,0,1,0,0
"300108",0,2787,1,0,0,0,0
"300110",1,11832,1,0,0,0,0
"300113",1,8127,0,0,0,1,0
"300114",0,9579,1,0,0,0,0
"300115",0,26525,1,0,0,0,0
"300119",1,8860,1,0,0,0,0
"300122",1,43596,1,0,0,0,0
"300123",1,48727,0,0,1,0,0
"300125",1,28029,0,0,1,0,0
"300128",0,20865,0,0,1,0,0
"300129",1,56089,0,1,0,0,0
"300131",1,16042,0,0,0,0,1
"300133",1,4310,0,0,0,1,0
"300134",1,2952,0,0,0,1,0
"300136",1,23830,0,0,0,1,0
"300139",1,13871,0,1,0,0,0
"300140",1,9962,1,0,0,0,0
